formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C6H14O4	[M + H]+	C6H15O4+	41.576	38.659	2.917	3	0.901	1.638	1.638	1.288		151.097	549	592791494396404464	592789408204037663	56
1	C8H11NO3	[M - H2O + H]+	C8H10NO2+	30.214	27.117	3.097	5	0.996	-1.293	1.293	-118436.462		152.070	185	592790061500468845	592789408304700964	58
1	C8H11NO3	[M - H2O + H]+	C8H10NO2+	39.342	36.185	3.157	11	1.000	-1.791	1.791	-118436.315		152.071	60	592790048393261558	592789408405364265	59
1	C6H13NO2	[M + Na]+	C6H13NNaO2+	50.571	50.571	0.000	7	0.952	-6.841	7.344	-0.515		154.084	49	592790037165103569	592789408485056046	61
1	C7H7NO2	[M + H3N + H]+	C7H11N2O2+	43.103	40.207	2.896	9	0.997	-1.818	1.818	-0.800		155.081	55	592790048477147817	592789408564747827	62
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	61.695	58.583	3.112	19	0.743	-1.471	1.969	-113906.908		158.117	113	592790053610980674	592789408631856696	65
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	76.255	73.179	3.077	24	0.720	-2.655	2.786	-113907.190		158.117	79	592790047457930805	592789408711548477	66
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	84.478	80.072	4.407	26	1.000	-1.637	1.696	-113907.120		158.117	71	592790052314940055	592789408799628866	67
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	86.880	81.600	5.280	25	0.948	-1.381	1.381	-113907.120		158.117	51	592790043561419560	592789408887709255	68
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	84.775	81.597	3.179	25	0.986	-2.390	2.390	-113906.767		158.117	48	592790036829559129	592789408971595340	69
1	C9H16O	[M + H3N + H]+	C9H20NO+	32.281	28.951	3.331	7	0.952	-1.300	1.421	-0.510		158.154	452	592791004912731783	592789409093230161	70
1	C12H18O2	[M - H4O2 + H]+	C12H15+	126.678	123.110	3.568	25	0.967	1.052	1.052	-226381.700		159.117	622	592791935272286475	592789409206476374	71
1	C4H11NO3	[M + K]+	C4H11KNO3+	87.260	86.818	0.442	16	0.260	-4.346	4.346	-1.070		160.037	50	592790044253480306	592789409323916891	72
1	C7H10O3	[M + H3N + H]+	C7H14NO3+	100.803	97.784	3.019	23	0.982	-2.531	2.531	-0.748		160.097	48	592790033910322118	592789409512660576	73
1	C8H14O2	[M + H3N + H]+	C8H18NO2+	73.185	69.989	3.196	16	0.917	-2.947	2.947	-0.782		160.133	82	592790046556154754	592789409672044133	75
1	C6H10O6	[M - H2O + H]+	C6H9O5+	59.320	56.373	2.947	9	0.993	-2.412	2.412	-111836.743		161.044	153	592790067968086286	592789409776901738	76
1	C6H10O6	[M - H2O + H]+	C6H9O5+	91.569	88.613	2.957	10	0.957	-3.935	3.935	-111836.743		161.044	83	592790046413548257	592789409860787823	77
1	C10H9N	[M + H3N + H]+	C10H13N2+	65.358	62.176	3.181	10	0.005	1.777	2.163	-0.527		161.107	197	592790074469258357	592789409944673908	78
1	C7H17NO4	[M - H2O + H]+	C7H16NO3+	71.148	68.170	2.978	17	0.997	-2.759	2.759	-111100.289		162.112	74	592790047365656032	592789410036948601	81
1	C7H17NO4	[M - H2O + H]+	C7H16NO3+	96.553	93.507	3.046	23	0.994	-2.150	2.150	-111100.015		162.112	48	592790037609700249	592789410125028990	82
1	C11H18O3	[M - H4O2 + H]+	C11H15O+	159.918	156.449	3.470	29	0.961	-2.747	2.747	-220837.668		163.112	551	592791388238568369	592789410225692291	83
1	C9H8O3	[M + H]+	C9H9O3+	79.324	76.020	3.304	11	0.988	-3.826	3.826	-0.488		165.055	87	592790049412478834	592789410317966984	84
1	C7H13NO2	[M + Na]+	C7H13NNaO2+	46.656	41.855	4.801	8	0.771	-3.015	3.123	0.004		166.084	49	592790038448561710	592789410410241677	86
1	C9H13NO3	[M - H2O + H]+	C9H12NO2+	34.482	31.188	3.294	9	0.986	0.811	0.893	-108441.598		166.086	74	592790049001436652	592789410489933458	87
1	C9H8O2	[M + H3N + H]+	C9H12NO2+	41.846	38.668	3.178	5	0.984	-2.625	2.625	-0.512		166.086	147	592790060967791719	592789410578013847	88
1	C5H13NO3S	[M + H]+	C5H14NO3S+	53.929	51.397	2.533	10	0.985	-2.421	2.421	-0.599		168.069	47	592790001593207166	592789410657705628	90
1	C9H12O2	[M + H3N + H]+	C9H16NO2+	253.244	253.244	0.000	41	0.983	-3.424	3.424	-0.266		170.118	249	592790174545370237	592789410745786017	93
1	C7H8O4	[M + H3N + H]+	C7H12NO4+	71.688	68.602	3.087	11	1.000	-5.231	5.231	-0.197		174.076	150	592790069893271838	592789410871615142	97
1	C8H12O3	[M + H3N + H]+	C8H16NO3+	105.445	102.266	3.179	28	0.970	-2.321	2.517	-0.229		174.112	54	592790046363216553	592789410947112619	98
1	C8H17NO4	[M - H2O + H]+	C8H16NO3+	53.255	50.066	3.190	13	1.000	-2.336	2.336	-103442.699		174.112	74	592790051178282721	592789411022610096	99
1	C9H21NO3	[M - H2O + H]+	C9H20NO2+	52.635	49.351	3.284	13	1.000	-5.917	5.917	-103420.931		174.149	128	592790054005245623	592789411106496181	102
1	C7H12O6	[M - H2O + H]+	C7H11O5+	89.246	86.256	2.990	15	1.000	-4.643	4.643	-102883.061		175.060	153	592790093184251205	592789411173605050	103
1	C7H12O6	[M - H2O + H]+	C7H11O5+	60.728	57.683	3.045	11	1.000	-4.037	4.037	-102882.746		175.060	141	592790074603476223	592789411257491135	104
1	C4H4N3O2S	[M + H3N + H]+	C4H8N4O2S+	59.709	58.678	1.032	10	0.306	9.142	10.130	-6.237		176.035	47	592790028076043224	592789411353960132	107
1	C8H14O3	[M + H3N + H]+	C8H18NO3+	67.589	64.392	3.197	9	0.477	-0.853	1.045	-0.510		176.128	74	592790047457930816	592789411437846217	108
1	C8H19NO4	[M - H2O + H]+	C8H18NO3+	83.376	78.351	5.025	17	0.997	-0.562	1.227	-102259.127		176.128	49	592790035390912119	592789411530120910	109
1	C8H19NO4	[M - H2O + H]+	C8H18NO3+	78.862	75.686	3.176	19	0.977	-3.225	3.225	-102258.877		176.128	100	592790051148922545	592789411634978515	110
1	C12H20O3	[M - H4O2 + H]+	C12H17O+	257.810	254.240	3.570	53	0.987	-1.050	1.210	-203363.122		177.127	621	592792019288391371	592789411739836120	111
1	C10H12N2	[M + H3N + H]+	C10H16N3+	43.827	40.777	3.051	21	0.839	-0.115	1.936	-0.583		178.134	50	592790044484167378	592789411815333597	112
1	C10H12N2	[M + H3N + H]+	C10H16N3+	69.844	66.700	3.144	23	0.670	0.550	1.857	-0.471		178.134	180	592790074490229899	592789411895025378	113
1	C12H22O3	[M - H4O2 + H]+	C12H19O+	206.304	202.854	3.450	41	0.991	-3.969	3.969	-201075.024		179.143	653	592792260792224320	592789411966328551	116
1	C9H6O3	[M + H3N + H]+	C9H10NO3+	108.612	105.337	3.274	21	0.949	-2.155	2.155	-0.442		180.065	403	592790472177397836	592789412033437420	117
1	C9H11NO4	[M - H2O + H]+	C9H10NO3+	30.275	27.054	3.221	4	1.000	-0.034	0.627	-100022.588		180.065	225	592790083596069139	592789412113129201	118
1	C10H15NO3	[M - H2O + H]+	C10H14NO2+	29.544	26.215	3.329	9	0.988	-0.467	1.348	-100002.597		180.102	90	592790049366341422	592789412217986806	119
1	C10H15NO3	[M - H2O + H]+	C10H14NO2+	33.902	30.628	3.273	9	0.973	0.992	0.992	-100002.781		180.102	96	592790050221980483	592789412310261499	120
1	C11H18O3	[M - H2O + H]+	C11H17O2+	155.219	151.806	3.413	27	0.996	-2.986	2.986	-99439.212		181.122	261	592790420801360113	592789413585329920	122
1	C11H20O4	[M - H4O2 + H]+	C11H17O2+	225.007	221.586	3.421	43	0.990	-2.627	2.627	-198877.882		181.122	451	592791004820457081	592789414143172357	123
1	C11H20O4	[M - H4O2 + H]+	C11H17O2+	255.288	251.895	3.393	54	0.993	-2.748	2.748	-198878.015		181.122	551	592791482547495474	592789414235447050	124
1	C9H8O3	[M + H3N + H]+	C9H12NO3+	97.274	93.997	3.277	13	0.969	-2.960	2.960	-0.492		182.081	87	592790049462810602	592789414344498959	126
1	C8H9NO3	[M + H3N + H]+	C8H13N2O3+	81.407	78.439	2.968	12	0.940	2.250	2.506	-0.155		185.092	63	592790049601222797	592789414453550868	129
1	C14H20O2	[M - H4O2 + H]+	C14H17+	182.812	179.149	3.663	39	0.941	-2.104	2.104	-194569.781		185.132	640	592792124464759524	592789414566797081	130
1	C14H20O2	[M - H4O2 + H]+	C14H17+	161.392	157.741	3.652	33	0.884	-0.333	0.725	-194569.910		185.132	586	592791556849591391	592789416655560478	131
1	C11H6O2	[M + H3N + H]+	C11H10NO2+	63.284	59.854	3.430	10	0.959	-1.152	1.199	-0.452		188.071	183	592790084762086176	592789417678970659	135
1	C5H13NO3S	[M + Na]+	C5H13NNaO3S+	39.318	36.822	2.496	9	0.929	-4.082	4.082	-0.289		190.051	47	592790026612231002	592789417829965608	139
1	C14H26O2	[M - H4O2 + H]+	C14H23+	150.324	146.702	3.622	30	0.938	-2.359	2.359	-188413.978		191.180	539	592791346043869937	592789417930628909	142
1	C8H19NO3S	[M - H2O + H]+	C8H18NO2S+	50.971	47.982	2.989	13	0.990	-3.855	3.855	-93753.995		192.105	89	592790052080058879	592789418010320690	143
1	C8H19NO3S	[M - H2O + H]+	C8H18NO2S+	66.220	63.155	3.065	17	0.974	-3.792	3.792	-93753.767		192.105	49	592790038280789432	592789418245201719	144
1	C12H19NO2	[M - H2O + H]+	C12H18NO+	34.406	31.140	3.266	7	0.974	-0.776	0.776	-93738.651		192.138	438	592790894719976034	592789418412973884	145
1	C7H12O6	[M + H]+	C7H13O6+	83.061	79.979	3.082	14	1.000	-1.144	1.144	-0.490		193.071	153	592790077434633705	592789418522025793	146
1	C7H12O6	[M + H]+	C7H13O6+	70.224	67.162	3.062	11	1.000	-1.918	1.918	-0.334		193.071	141	592790050251340681	592789418610106182	147
1	C13H24O3	[M - H4O2 + H]+	C13H21O+	179.858	176.366	3.492	37	0.990	-3.390	3.390	-186484.836		193.159	656	592792446520201065	592789418689797963	148
1	C12H17N	[M + H3N + H]+	C12H21N2+	67.343	63.935	3.408	16	0.945	-2.013	2.013	-0.285		193.170	389	592790482277282496	592789418761101136	149
1	C14H8	[M + H3N + H]+	C14H12N+	22.843	19.270	3.573	2	0.236	0.017	0.270	-0.545		194.096	443	592790874675396795	592789418832404309	151
1	C11H17NO3	[M - H2O + H]+	C11H16NO2+	37.608	34.293	3.316	18	0.814	-2.046	2.712	-92782.108		194.117	146	592790076587383764	592789418924679002	152
1	C8H18O5	[M + H]+	C8H19O5+	44.330	41.161	3.169	7	0.993	-3.785	3.785	-0.513		195.123	158	592790061588549352	592789418995982175	154
1	C12H22O4	[M - H4O2 + H]+	C12H19O2+	207.820	204.209	3.611	40	0.967	-2.181	2.181	-184593.427		195.138	551	592791477115871670	592789419058896740	155
1	C9H9NO4	[M + H]+	C9H10NO4+	68.216	64.916	3.300	16	1.000	-0.976	0.976	-0.124		196.060	124	592790051924869480	592789419134394217	159
1	C10H10O3	[M + H3N + H]+	C10H14NO3+	89.419	86.033	3.386	20	0.988	1.047	1.047	-0.152		196.097	82	592790047474708068	592789419201503086	160
1	C11H14O2	[M + H3N + H]+	C11H18NO2+	102.469	98.972	3.498	34	0.917	-3.917	3.917	-0.180		196.133	87	592790046904282292	592789419277000563	161
1	C11H16O2	[M + H3N + H]+	C11H20NO2+	250.944	247.470	3.474	37	0.866	-2.758	2.758	-0.229		198.149	327	592790273853916054	592789419365080952	164
1	C11H16O2	[M + H3N + H]+	C11H20NO2+	24.985	21.484	3.501	14	0.886	-1.373	2.509	-0.178		198.149	81	592790046728121377	592789419461549949	165
1	C9H12O6	[M - H2O + H]+	C9H11O5+	79.665	76.385	3.280	16	0.970	-3.071	3.071	-90478.243		199.060	174	592790075891128342	592789419520270210	166
1	C9H12O6	[M - H2O + H]+	C9H11O5+	65.908	62.630	3.277	18	0.975	-2.987	2.987	-90478.243		199.060	286	592790177066147809	592789419583184775	167
1	C6H10O6	[M + Na]+	C6H10NaO6+	4.476	4.476	0.000	0	0.000	-0.292	0.292	-0.292		201.037	83	592790053862639120	592789419654487948	169
1	C3H4N2O5P	[M + Na]+	C3H4N2NaO5P+	102.535	102.535	0.000	21	0.430	-7.348	7.348	-4.919		201.974	41	592790023273564917	592789419868397457	171
1	C6H12O6	[M + Na]+	C6H12NaO6+	27.016	25.344	1.671	2	0.867	-0.553	0.553	0.252		203.053	52	592790043930518587	592789419985837974	174
1	C14H22O3	[M - H4O2 + H]+	C14H19O+	269.326	265.798	3.528	57	0.994	-1.034	1.126	-177319.398		203.143	589	592791600306775827	592789420099084187	176
1	C15H26O2	[M - H4O2 + H]+	C15H23+	138.800	135.599	3.202	26	0.940	-0.257	0.645	-177287.560		203.179	644	592792108618678683	592789420250079136	177
1	C9H19NO5	[M - H2O + H]+	C9H18NO4+	27.272	21.922	5.351	5	1.000	-1.791	1.791	-88233.838		204.123	71	592790047558594302	592789420359131045	179
1	C11H9NO2	[M + H3N + H]+	C11H13N2O2+	41.716	41.716	0.000	8	0.056	-0.496	0.769	-0.849		205.097	181	592790076067289452	592789420447211434	182
1	C5H13NO3S	[M + K]+	C5H13KNO3S+	14.602	12.141	2.461	4	0.832	-1.021	2.685	0.183		206.025	47	592790022724111018	592789420535291823	184
1	C5H13NO4S	[M + Na]+	C5H13NNaO4S+	79.007	74.924	4.084	14	0.883	-1.577	1.679	0.050		206.046	48	592790037408373454	592789420635955124	185
1	C13H23NO3	[M - H4O2 + H]+	C13H20NO+	58.388	55.105	3.282	20	0.988	2.074	2.074	-174728.998		206.154	322	592790272553681713	592789420745007033	186
1	C10H22O4	[M + H]+	C10H23O4+	96.795	93.481	3.314	15	1.000	-3.022	3.022	-0.317		207.159	325	592790180488700409	592789420824698814	187
1	C12H19NO3	[M - H2O + H]+	C12H18NO2+	100.270	96.699	3.571	14	0.960	-2.650	2.650	-86534.125		208.133	165	592790082132256322	592789420925362115	189
1	C14H10O3	[M - H2O + H]+	C14H9O2+	26.443	22.817	3.626	3	0.976	2.517	2.517	-86150.267		209.060	467	592791129395482454	592789421013442504	191
1	C14H10O3	[M - H2O + H]+	C14H9O2+	26.310	22.650	3.660	3	0.988	-0.620	0.620	-86150.475		209.060	431	592790917176280205	592789421088939981	192
1	C10H13NO5	[M - H2O + H]+	C10H12NO4+	36.691	33.410	3.281	9	1.000	-0.253	0.287	-85734.019		210.076	253	592790074767054232	592789421227352018	194
1	C10H13NO5	[M - H2O + H]+	C10H12NO4+	42.156	38.870	3.286	8	1.000	-1.100	1.100	-85733.813		210.076	271	592790272318800574	592789421298655191	195
1	C13H16O	[M + Na]+	C13H16NaO+	21.679	20.534	1.145	2	0.974	-1.390	1.390	0.351		211.109	595	592791831916245628	592789421361569756	197
1	C10H10O4	[M + H3N + H]+	C10H14NO4+	114.629	111.231	3.397	23	0.991	-1.722	1.722	-0.068		212.092	404	592790838562439041	592789421424484321	199
1	C10H10O4	[M + H3N + H]+	C10H14NO4+	147.267	147.267	0.000	29	0.967	-1.434	1.434	0.074		212.092	143	592790091103876007	592789421491593190	200
1	C12H18O2	[M + H3N + H]+	C12H22NO2+	310.697	307.154	3.542	47	0.909	-2.709	2.709	-0.025		212.165	364	592790545988761558	592789421550313451	202
1	C11H18N2O	[M + H3N + H]+	C11H22N3O+	125.964	120.962	5.002	31	0.980	2.608	2.608	-0.842		212.176	310	592790168652372112	592789421617422320	203
1	C11H18N2O	[M + H3N + H]+	C11H22N3O+	131.819	126.783	5.037	33	0.984	2.164	2.164	-0.513		212.176	296	592790162079896203	592789421676142581	204
1	C12H22O4	[M - H2O + H]+	C12H21O3+	224.143	218.473	5.671	44	1.000	-1.539	1.539	-84498.084		213.148	551	592791515086906231	592789421739057146	205
1	C16H24O2	[M - H4O2 + H]+	C16H21+	229.248	225.470	3.778	54	0.992	0.202	0.445	-168983.280		213.164	668	592792695938685401	592789421797777407	206
1	C16H24O2	[M - H4O2 + H]+	C16H21+	206.402	200.439	5.963	51	0.983	-0.085	0.443	-168983.445		213.164	644	592792194555774477	592789421856497668	207
1	C11H20N2O	[M + H3N + H]+	C11H24N3O+	130.064	126.771	3.293	39	0.941	2.146	2.146	-1.022		214.191	302	592790208590541344	592789421915217929	208
1	C6H8O7	[M + Na]+	C6H8NaO7+	7.504	4.487	3.017	0	0.000	0.161	0.161	0.171		215.016	82	592790050960178652	592789421973938190	209
1	C5H8N6O5	[M - H2O + H]+	C5H7N6O4+	3.759	1.901	1.858	1	0.000	1.185	1.185	-83748.420		215.053	153	592790078739063031	592789422032658451	210
1	C5H8N6O5	[M - H2O + H]+	C5H7N6O4+	3.692	1.900	1.791	2	0.166	5.751	5.751	-83748.370		215.053	141	592790091242288166	592789422095573016	211
1	C5H8N6O5	[M - H2O + H]+	C5H7N6O4+	6.270	4.505	1.765	2	0.227	5.950	5.950	-83748.067		215.053	82	592790048326152481	592789422158487581	212
1	C5H8N6O5	[M - H2O + H]+	C5H7N6O4+	6.309	4.551	1.758	2	0.019	-0.226	2.025	-83747.715		215.053	51	592790043498504914	592789422217207842	213
1	C4H9NO8	[M + H3N + H]+	C4H13N2O8+	40.909	40.909	0.000	6	0.824	7.459	7.459	7.455		217.068	73	592790045436274952	592789422275928103	218
1	C16H28O2	[M - H4O2 + H]+	C16H25+	171.718	167.950	3.768	33	0.981	-0.948	1.097	-165847.257		217.195	578	592791595734984404	592789422338842668	221
1	C10H21NO5	[M - H2O + H]+	C10H20NO4+	27.339	23.962	3.378	6	0.996	-2.743	2.743	-82565.015		218.139	123	592790049907407277	592789422426923057	223
1	C14H23NO3	[M - H4O2 + H]+	C14H20NO+	142.686	139.065	3.621	52	0.996	2.390	2.409	-165118.264		218.154	376	592790468834536565	592789422489837622	224
1	C10H24N2O4	[M - H2O + H]+	C10H23N2O3+	16.905	13.610	3.296	2	1.000	-0.989	1.253	-82175.811		219.170	49	592790036867307890	592789422544363579	225
1	C14H25NO3	[M - H4O2 + H]+	C14H22NO+	31.814	28.086	3.728	12	0.897	3.194	3.194	-163606.239		220.170	328	592790202303277741	592789422611472448	226
1	C14H25NO3	[M - H4O2 + H]+	C14H22NO+	56.173	52.711	3.462	22	0.992	1.437	1.437	-163604.600		220.170	414	592790898067030806	592789422686969925	227
1	C10H9NO6	[M - H2O + H]+	C10H8NO5+	42.251	38.872	3.380	7	0.995	-0.037	0.253	-81114.013		222.040	168	592790085408009357	592789422762467402	229
